Timestamp(ms),Intensity,Winning Status
1.66E+12,0.556871242,0.682363353
1.66E+12,0.556871242,0.686284982
1.66E+12,0.560792871,0.682363353
1.66E+12,0.564714499,0.682363353
1.66E+12,0.564714499,0.682363353
1.66E+12,0.564714499,0.682363353
1.66E+12,0.564714499,0.682363353
1.66E+12,0.564714499,0.682363353
1.66E+12,0.564714499,0.607852412
1.66E+12,0.568636128,0.603930784
1.66E+12,0.568636128,0.603930784
1.66E+12,0.568636128,0.607852412
1.66E+12,0.568636128,0.607852412
1.66E+12,0.568636128,0.607852412
1.66E+12,0.576479385,0.607852412
1.66E+12,0.615695669,0.607852412
1.66E+12,0.623538926,0.607852412
1.66E+12,0.623538926,0.607852412
1.66E+12,0.643147069,0.607852412
1.66E+12,0.658833583,0.607852412
1.66E+12,0.682363353,0.607852412
